process_method,method,curve_index,a_value,rep,flow_over_population,prevalence_peak,remaining_flow_pct,epp,unrestricted_flow,unrestricted_peak,isolation_peak,epp_max
31,linear,20,1.0,23,0.0,85872.0,0.0,-621.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,24,0.0,86768.0,0.0,274.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,25,0.0,87786.0,0.0,1292.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,26,0.0,85633.0,0.0,-860.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,27,0.0,84722.0,0.0,-1771.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,28,0.0,86254.0,0.0,-239.67999999999302,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,29,0.0,87428.0,0.0,934.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,30,0.0,85737.0,0.0,-756.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,31,0.0,86254.0,0.0,-239.67999999999302,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,32,0.0,87756.0,0.0,1262.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,33,0.0,86059.0,0.0,-434.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,34,0.0,86253.0,0.0,-240.67999999999302,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,35,0.0,86086.0,0.0,-407.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,36,0.0,86550.0,0.0,56.320000000006985,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,37,0.0,86767.0,0.0,273.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,38,0.0,86169.0,0.0,-324.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,39,0.0,86659.0,0.0,165.32000000000698,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,40,0.0,86183.0,0.0,-310.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,41,0.0,86000.0,0.0,-493.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,42,0.0,86468.0,0.0,-25.679999999993015,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,43,0.0,86826.0,0.0,332.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,44,0.0,86974.0,0.0,480.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,45,0.0,86578.0,0.0,84.32000000000698,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,46,0.0,85953.0,0.0,-540.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,47,0.0,86214.0,0.0,-279.679999999993,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,48,0.0,86812.0,0.0,318.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,linear,20,1.0,49,0.0,86814.0,0.0,320.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,12,0.6,0,0.07960741884220074,88879.0,39.91038446289493,2385.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,12,0.6,1,0.07960741884220074,88882.0,39.91038446289493,2388.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,12,0.6,2,0.07960741884220074,89078.0,39.91038446289493,2584.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,12,0.6,3,0.07960741884220074,90098.0,39.91038446289493,3604.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,12,0.6,4,0.07960741884220074,88006.0,39.91038446289493,1512.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,12,0.6,5,0.07960741884220074,88502.0,39.91038446289493,2008.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,12,0.6,6,0.07960741884220074,88870.0,39.91038446289493,2376.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,12,0.6,7,0.07960741884220074,88904.0,39.91038446289493,2410.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,12,0.6,8,0.07960741884220074,89018.0,39.91038446289493,2524.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,12,0.6,9,0.07960741884220074,89276.0,39.91038446289493,2782.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
31,pop_both_inverse,12,0.6,10,0.07960741884220074,88679.0,39.91038446289493,2185.320000000007,0.19946542714017831,108152.0,86493.68,21658.320000000007
